count_id,line,species_id,site_code,liana,count
1,1,18,NDAKANNI,,5.0
2,2,18,NDAKANNI,,1.0
3,4,18,NDAKANNI,,1.0
4,5,18,NDAKANNI,,1.0
5,6,18,NDAKANNI,,2.0
6,8,18,NDAKANNI,,2.0
7,9,18,NDAKANNI,,1.0
8,10,18,NDAKANNI,,1.0
9,8,167,NDAKANNI,,1.0
10,7,168,NDAKANNI,,1.0
11,4,209,NDAKANNI,,1.0
12,7,209,NDAKANNI,,1.0
13,5,212,NDAKANNI,l,1.0
14,1,316,NDAKANNI,,1.0
15,2,316,NDAKANNI,,1.0
16,1,319,NDAKANNI,,1.0
17,2,322,NDAKANNI,,1.0
18,7,323,NDAKANNI,l,1.0
19,1,374,NDAKANNI,,1.0
20,2,374,NDAKANNI,,1.0
21,3,374,NDAKANNI,,2.0
22,4,374,NDAKANNI,,3.0
23,6,374,NDAKANNI,,1.0
24,7,374,NDAKANNI,,2.0
25,8,374,NDAKANNI,,1.0
26,4,585,NDAKANNI,l,3.0
27,2,598,NDAKANNI,l,1.0
28,2,599,NDAKANNI,l,1.0
29,3,600,NDAKANNI,l,1.0
30,5,600,NDAKANNI,l,1.0
31,6,600,NDAKANNI,l,1.0
32,4,601,NDAKANNI,l,1.0
33,6,601,NDAKANNI,l,3.0
34,7,601,NDAKANNI,l,4.0
35,9,602,NDAKANNI,l,1.0
36,1,647,NDAKANNI,,1.0
37,2,647,NDAKANNI,,1.0
38,3,647,NDAKANNI,,3.0
39,4,647,NDAKANNI,,1.0
40,6,647,NDAKANNI,,8.0
41,7,647,NDAKANNI,,2.0
42,8,647,NDAKANNI,,3.0
43,9,647,NDAKANNI,,2.0
44,10,647,NDAKANNI,,1.0
45,9,690,NDAKANNI,,1.0
46,10,690,NDAKANNI,,1.0
47,10,690,NDAKANNI,,1.0
48,1,708,NDAKANNI,,4.0
49,2,708,NDAKANNI,,5.0
50,3,708,NDAKANNI,,5.0
51,4,708,NDAKANNI,,7.0
52,6,708,NDAKANNI,,4.0
53,7,708,NDAKANNI,,4.0
54,8,708,NDAKANNI,,5.0
55,5,1833,NDAKANNI,,1.0
56,4,1965,NDAKANNI,,1.0
57,2,2249,NDAKANNI,l,1.0
58,4,2250,NDAKANNI,l,3.0
59,7,2251,NDAKANNI,l,1.0
60,7,2252,NDAKANNI,l,1.0
61,4,2694,NDAKANNI,l,1.0
62,8,2694,NDAKANNI,l,1.0
63,5,2695,NDAKANNI,l,1.0
64,10,2696,NDAKANNI,l,7.0
65,7,2697,NDAKANNI,l,1.0
66,5,2733,NDAKANNI,,2.0
67,6,2733,NDAKANNI,,1.0
68,7,2733,NDAKANNI,,1.0
69,2,2735,NDAKANNI,l,1.0
70,7,2764,NDAKANNI,l,1.0
71,2,2818,NDAKANNI,l,1.0
72,4,2819,NDAKANNI,l,1.0
73,5,3095,NDAKANNI,l,2.0
74,1,3154,NDAKANNI,,6.0
75,2,3154,NDAKANNI,,2.0
76,3,3154,NDAKANNI,,3.0
77,4,3154,NDAKANNI,,2.0
78,6,3154,NDAKANNI,,2.0
79,7,3154,NDAKANNI,,5.0
80,8,3154,NDAKANNI,,1.0
81,10,3157,NDAKANNI,,1.0
82,3,3162,NDAKANNI,,1.0
83,6,3162,NDAKANNI,,3.0
84,4,3181,NDAKANNI,,5.0
85,8,3181,NDAKANNI,,1.0
86,8,3213,NDAKANNI,,1.0
87,3,3414,NDAKANNI,,1.0
88,4,3414,NDAKANNI,,1.0
89,5,3556,NDAKANNI,,1.0
90,1,3570,NDAKANNI,,2.0
91,2,3570,NDAKANNI,,1.0
92,5,3570,NDAKANNI,,1.0
93,6,3578,NDAKANNI,,1.0
94,2,3583,NDAKANNI,,1.0
95,3,3584,NDAKANNI,,1.0
96,6,3585,NDAKANNI,,1.0
97,6,3586,NDAKANNI,,1.0
98,8,3586,NDAKANNI,,1.0
99,7,3587,NDAKANNI,,1.0
100,9,3628,NDAKANNI,,1.0
101,10,3628,NDAKANNI,,1.0
102,1,3706,NDAKANNI,l,1.0
103,2,3706,NDAKANNI,l,1.0
104,6,3706,NDAKANNI,l,4.0
105,5,3855,NDAKANNI,l,1.0
106,9,3855,NDAKANNI,l,3.0
107,10,3855,NDAKANNI,l,1.0
108,4,3871,NDAKANNI,l,1.0
109,5,3871,NDAKANNI,l,1.0
110,10,3871,NDAKANNI,,1.0
111,1,3874,NDAKANNI,,1.0
112,1,3898,NDAKANNI,,4.0
113,3,3898,NDAKANNI,,6.0
114,5,3898,NDAKANNI,,1.0
115,6,3898,NDAKANNI,,1.0
116,7,3898,NDAKANNI,,1.0
117,8,3898,NDAKANNI,,4.0
118,7,3900,NDAKANNI,,1.0
119,8,3910,NDAKANNI,,2.0
120,10,3910,NDAKANNI,,1.0
121,2,4061,NDAKANNI,l,1.0
