stem_id,line,species_id,site_code,liana,stem
1,1,18,NDAKANNI,,
2,1,18,NDAKANNI,,
3,1,18,NDAKANNI,,
4,1,18,NDAKANNI,,
5,1,18,NDAKANNI,,
6,2,18,NDAKANNI,,
7,2,18,NDAKANNI,,
8,2,18,NDAKANNI,,
9,4,18,NDAKANNI,,
10,4,18,NDAKANNI,,
11,5,18,NDAKANNI,,
12,6,18,NDAKANNI,,
13,6,18,NDAKANNI,,
14,6,18,NDAKANNI,,
15,8,18,NDAKANNI,,
16,8,18,NDAKANNI,,
17,9,18,NDAKANNI,,
18,10,18,NDAKANNI,,
19,10,18,NDAKANNI,,
20,10,18,NDAKANNI,,
21,10,18,NDAKANNI,,
22,8,167,NDAKANNI,,
23,7,168,NDAKANNI,,
24,4,209,NDAKANNI,,
25,7,209,NDAKANNI,,
26,5,212,NDAKANNI,l,
27,1,316,NDAKANNI,,
28,2,316,NDAKANNI,,
29,1,319,NDAKANNI,,
30,2,322,NDAKANNI,,
31,7,323,NDAKANNI,l,
32,1,374,NDAKANNI,,
33,2,374,NDAKANNI,,
34,2,374,NDAKANNI,,
35,3,374,NDAKANNI,,
36,3,374,NDAKANNI,,
37,4,374,NDAKANNI,,
38,4,374,NDAKANNI,,
39,4,374,NDAKANNI,,
40,6,374,NDAKANNI,,
41,7,374,NDAKANNI,,
42,7,374,NDAKANNI,,
43,8,374,NDAKANNI,,
44,4,585,NDAKANNI,l,
45,4,585,NDAKANNI,l,
46,4,585,NDAKANNI,l,
47,2,598,NDAKANNI,l,
48,2,599,NDAKANNI,l,
49,3,600,NDAKANNI,l,
50,5,600,NDAKANNI,l,
51,6,600,NDAKANNI,l,
52,4,601,NDAKANNI,l,
53,6,601,NDAKANNI,l,
54,6,601,NDAKANNI,l,
55,6,601,NDAKANNI,l,
56,6,601,NDAKANNI,l,
57,7,601,NDAKANNI,l,
58,7,601,NDAKANNI,l,
59,7,601,NDAKANNI,l,
60,7,601,NDAKANNI,l,
61,9,602,NDAKANNI,l,
62,1,647,NDAKANNI,,
63,2,647,NDAKANNI,,
64,3,647,NDAKANNI,,
65,3,647,NDAKANNI,,
66,3,647,NDAKANNI,,
67,4,647,NDAKANNI,,
68,6,647,NDAKANNI,,
69,6,647,NDAKANNI,,
70,6,647,NDAKANNI,,
71,6,647,NDAKANNI,,
72,6,647,NDAKANNI,,
73,6,647,NDAKANNI,,
74,6,647,NDAKANNI,,
75,6,647,NDAKANNI,,
76,7,647,NDAKANNI,,
77,7,647,NDAKANNI,,
78,8,647,NDAKANNI,,
79,8,647,NDAKANNI,,
80,8,647,NDAKANNI,,
81,8,647,NDAKANNI,,
82,9,647,NDAKANNI,,
83,9,647,NDAKANNI,,
84,10,647,NDAKANNI,,
85,9,690,NDAKANNI,,
86,9,690,NDAKANNI,,
87,10,690,NDAKANNI,,
88,10,690,NDAKANNI,,
89,10,690,NDAKANNI,,
90,1,708,NDAKANNI,,
91,1,708,NDAKANNI,,
92,1,708,NDAKANNI,,
93,1,708,NDAKANNI,,
94,2,708,NDAKANNI,,
95,2,708,NDAKANNI,,
96,2,708,NDAKANNI,,
97,2,708,NDAKANNI,,
98,2,708,NDAKANNI,,
99,3,708,NDAKANNI,,
100,3,708,NDAKANNI,,
101,3,708,NDAKANNI,,
102,3,708,NDAKANNI,,
103,3,708,NDAKANNI,,
104,3,708,NDAKANNI,,
105,4,708,NDAKANNI,,
106,4,708,NDAKANNI,,
107,4,708,NDAKANNI,,
108,4,708,NDAKANNI,,
109,4,708,NDAKANNI,,
110,4,708,NDAKANNI,,
111,4,708,NDAKANNI,,
112,6,708,NDAKANNI,,
113,6,708,NDAKANNI,,
114,6,708,NDAKANNI,,
115,6,708,NDAKANNI,,
116,7,708,NDAKANNI,,
117,7,708,NDAKANNI,,
118,7,708,NDAKANNI,,
119,7,708,NDAKANNI,,
120,7,708,NDAKANNI,,
121,8,708,NDAKANNI,,
122,8,708,NDAKANNI,,
123,8,708,NDAKANNI,,
124,8,708,NDAKANNI,,
125,8,708,NDAKANNI,,
126,5,1833,NDAKANNI,,
127,4,1965,NDAKANNI,,
128,2,2249,NDAKANNI,l,
129,4,2250,NDAKANNI,l,
130,4,2250,NDAKANNI,l,
131,4,2250,NDAKANNI,l,
132,7,2251,NDAKANNI,l,
133,7,2252,NDAKANNI,l,
134,4,2694,NDAKANNI,l,
135,8,2694,NDAKANNI,l,
136,5,2695,NDAKANNI,l,
137,10,2696,NDAKANNI,l,
138,10,2696,NDAKANNI,l,
139,10,2696,NDAKANNI,l,
140,10,2696,NDAKANNI,l,
141,10,2696,NDAKANNI,l,
142,10,2696,NDAKANNI,l,
143,10,2696,NDAKANNI,l,
144,10,2696,NDAKANNI,l,
145,7,2697,NDAKANNI,l,
146,5,2733,NDAKANNI,,
147,5,2733,NDAKANNI,,
148,5,2733,NDAKANNI,,
149,5,2733,NDAKANNI,,
150,6,2733,NDAKANNI,,
151,7,2733,NDAKANNI,,
152,2,2735,NDAKANNI,l,
153,7,2764,NDAKANNI,l,
154,2,2818,NDAKANNI,l,
155,4,2819,NDAKANNI,l,
156,5,3095,NDAKANNI,l,
157,5,3095,NDAKANNI,l,
158,1,3154,NDAKANNI,,
159,1,3154,NDAKANNI,,
160,1,3154,NDAKANNI,,
161,1,3154,NDAKANNI,,
162,1,3154,NDAKANNI,,
163,1,3154,NDAKANNI,,
164,2,3154,NDAKANNI,,
165,2,3154,NDAKANNI,,
166,3,3154,NDAKANNI,,
167,3,3154,NDAKANNI,,
168,3,3154,NDAKANNI,,
169,4,3154,NDAKANNI,,
170,4,3154,NDAKANNI,,
171,4,3154,NDAKANNI,,
172,4,3154,NDAKANNI,,
173,6,3154,NDAKANNI,,
174,6,3154,NDAKANNI,,
175,6,3154,NDAKANNI,,
176,7,3154,NDAKANNI,,
177,7,3154,NDAKANNI,,
178,7,3154,NDAKANNI,,
179,7,3154,NDAKANNI,,
180,7,3154,NDAKANNI,,
181,8,3154,NDAKANNI,,
182,10,3157,NDAKANNI,,
183,3,3162,NDAKANNI,,
184,6,3162,NDAKANNI,,
185,6,3162,NDAKANNI,,
186,6,3162,NDAKANNI,,
187,4,3181,NDAKANNI,,
188,4,3181,NDAKANNI,,
189,4,3181,NDAKANNI,,
190,4,3181,NDAKANNI,,
191,4,3181,NDAKANNI,,
192,8,3181,NDAKANNI,,
193,8,3213,NDAKANNI,,
194,3,3414,NDAKANNI,,
195,4,3414,NDAKANNI,,
196,5,3556,NDAKANNI,,
197,1,3570,NDAKANNI,,
198,1,3570,NDAKANNI,,
199,2,3570,NDAKANNI,,
200,5,3570,NDAKANNI,,
201,6,3578,NDAKANNI,,
202,2,3583,NDAKANNI,,
203,3,3584,NDAKANNI,,
204,6,3585,NDAKANNI,,
205,6,3586,NDAKANNI,,
206,8,3586,NDAKANNI,,
207,7,3587,NDAKANNI,,
208,9,3628,NDAKANNI,,
209,10,3628,NDAKANNI,,
210,1,3706,NDAKANNI,l,
211,2,3706,NDAKANNI,l,
212,6,3706,NDAKANNI,l,
213,6,3706,NDAKANNI,l,
214,6,3706,NDAKANNI,l,
215,6,3706,NDAKANNI,l,
216,5,3855,NDAKANNI,l,
217,9,3855,NDAKANNI,l,
218,9,3855,NDAKANNI,l,
219,9,3855,NDAKANNI,l,
220,10,3855,NDAKANNI,l,
221,4,3871,NDAKANNI,l,
222,5,3871,NDAKANNI,l,
223,10,3871,NDAKANNI,,
224,1,3874,NDAKANNI,,
225,1,3898,NDAKANNI,,
226,1,3898,NDAKANNI,,
227,1,3898,NDAKANNI,,
228,1,3898,NDAKANNI,,
229,3,3898,NDAKANNI,,
230,3,3898,NDAKANNI,,
231,3,3898,NDAKANNI,,
232,3,3898,NDAKANNI,,
233,3,3898,NDAKANNI,,
234,3,3898,NDAKANNI,,
235,3,3898,NDAKANNI,,
236,3,3898,NDAKANNI,,
237,3,3898,NDAKANNI,,
238,5,3898,NDAKANNI,,
239,6,3898,NDAKANNI,,
240,6,3898,NDAKANNI,,
241,7,3898,NDAKANNI,,
242,7,3898,NDAKANNI,,
243,8,3898,NDAKANNI,,
244,8,3898,NDAKANNI,,
245,8,3898,NDAKANNI,,
246,8,3898,NDAKANNI,,
247,7,3900,NDAKANNI,,
248,8,3910,NDAKANNI,,
249,8,3910,NDAKANNI,,
250,10,3910,NDAKANNI,,
251,2,4061,NDAKANNI,l,
252,3,4061,NDAKANNI,l,
253,4,4061,NDAKANNI,l,
254,9,4061,NDAKANNI,l,
255,9,4061,NDAKANNI,l,
256,9,4061,NDAKANNI,l,
257,1,4078,NDAKANNI,,
258,4,4078,NDAKANNI,,
259,7,4078,NDAKANNI,,
260,2,4149,NDAKANNI,,
261,3,4149,NDAKANNI,,
262,3,4149,NDAKANNI,,
263,4,4149,NDAKANNI,,
264,4,4149,NDAKANNI,,
265,4,4149,NDAKANNI,,
266,4,4149,NDAKANNI,,
267,5,4400,NDAKANNI,l,
268,5,4400,NDAKANNI,l,
269,6,4400,NDAKANNI,l,
270,7,4400,NDAKANNI,l,
271,2,4403,NDAKANNI,l,
272,3,4467,NDAKANNI,,
273,4,4467,NDAKANNI,,
274,5,4536,NDAKANNI,,
275,9,4739,NDAKANNI,,
276,4,4937,NDAKANNI,,
277,6,4937,NDAKANNI,,
278,6,4999,NDAKANNI,l,
279,3,5012,NDAKANNI,,
280,10,5051,NDAKANNI,,
281,10,5056,NDAKANNI,,
282,10,5057,NDAKANNI,l,
283,7,5154,NDAKANNI,,
284,7,5155,NDAKANNI,,
285,1,5544,NDAKANNI,,
286,5,5544,NDAKANNI,,
287,5,5546,NDAKANNI,l,
288,7,5764,NDAKANNI,l,
