ID;Genus/species;Category;Phylum;Class;Order;Family;M (kg fresh mass);N (indiv/m^3 epilimnion);functional.grouping;trophic.position.grouping;body.mass.grouping;abundance.grouping
1;Nostoc sp.;P;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;7.97E-13;2000000;phytoplankton;basal;light;common
2;Arthrodesmus sp.;P;Charophyta;Zygnematophyceae;Zygnematales;Desmidiaceae;1.52E-12;49000000;phytoplankton;basal;light;common
3;Asterionella formosa;P;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;1.12E-12;5000000;-1;-1;-1;-1
4;Cryptomonas sp. 1;P;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;2.03E-13;64000000;phytoplankton;basal;light;common
5;Cryptomonas sp. 2;P;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;1.51E-12;28000000;phytoplankton;basal;light;common
6;Chroococcus dispersus;P;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;2.39E-13;20000000;phytoplankton;basal;light;common
7;Closteriopsis longissimus;P;Chlorophyta;Chlorophyceae;Sphaeropleales;Ankistrodesmaceae;2.37E-13;100000000;phytoplankton;basal;light;common
8;Chrysosphaerella longispina;P;Heterokontophyta;Synurophyceae;Synurales;Synuraceae;8.31E-10;4000000;-1;-1;-1;-1
9;Dinobryon bavaricum;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;2.44E-12;30000000;phytoplankton;basal;light;common
10;Dinobryon cylindricum;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;1.57E-12;3000000;phytoplankton;basal;light;common
11;Dactylococcopsis fascicularis;P;Cyanobacteria;Cyanophyceae;Chlorococcales;Chroococcaceae;1.32E-13;46000000;phytoplankton;basal;light;common
12;Diceras sp.;P;Heterokontophyta;Chrysophyceae;Hibberdiales;Stylococcaceae;1.53E-13;14000000;-1;-1;-1;-1
13;Dictyosphaerium pulchellum;P;Chlorophyta;Chlorophyceae;Chlorococcales;Botryococcaceae;5.07E-13;13000000;phytoplankton;basal;light;common
14;Dinobryon sertularia;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;1.52E-11;2000000;phytoplankton;basal;standard;common
15;Dinobryon sociale;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;6.41E-13;28000000;phytoplankton;basal;light;common
16;Glenodinium quadridens;P;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;7.54E-12;67000000;phytoplankton;basal;standard;common
17;Microcystis aeruginosa;P;Cyanobacteria;Cyanophyceae;Chlorococcales;Microcystaceae;1.62E-11;13000000;phytoplankton;basal;standard;common
18;Mallomonas sp. 1;P;Heterokontophyta;Synurophyceae;Synurales;Mallomonadaceae;1.03E-12;19000000;phytoplankton;basal;light;common
19;Mallomonas sp. 2;P;Heterokontophyta;Synurophyceae;Synurales;Mallomonadaceae;1.41E-12;22700000;phytoplankton;basal;light;common
20;Unclassified flagellates;P;Flagellate;;;;3.46E-13;1880000000;phytoplankton;basal;light;common
21;Peridinium limbatum;P;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;6.46E-11;17000000;phytoplankton;basal;standard;common
