ID;Name;Category;Phylum;Class;Order;Family;M (kg fresh mass);N (indiv/m^3 epilimnion);functional.grouping;trophic.position.grouping;body.mass.grouping;abundance.grouping
1;Anabaena circinalis;P;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;1.91E-13;6000000;-1;-1;-1;-1
2;Ankyra judayi;P;Chlorophyta;Chlorophyceae;Chlorococcales;Sphaeropleaceae;1.53E-13;13000000;phytoplankton;basal;light;common
3;Cryptomonas sp. 1;P;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;2.85E-13;33000000;phytoplankton;basal;light;common
4;Cryptomonas sp. 3;P;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;6.72E-13;18000000;phytoplankton;basal;light;common
5;Cryptomonas sp. 4;P;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;1.64E-12;28000000;phytoplankton;basal;light;common
6;Chroococcus dispersus;P;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;2.39E-13;5000000;phytoplankton;basal;light;common
7;Chroococcus limneticus;P;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;1.31E-12;16000000;phytoplankton;basal;light;common
8;Cosmarium sp.;P;Charophyta;Zygnematophyceae;Zygnematales;Desmidiaceae;3.71E-12;1000000;phytoplankton;basal;light;common
9;Closteriopsis longissimus;P;Chlorophyta;Chlorophyceae;Sphaeropleales;Ankistrodesmaceae;1.98E-13;1000000;phytoplankton;basal;light;common
10;Chrysosphaerella longispina;P;Heterokontophyta;Synurophyceae;Synurales;Synuraceae;4.4E-11;1000000;-1;-1;-1;-1
11;Dinobryon bavaricum;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;5.29E-12;8000000;phytoplankton;basal;light;common
12;Dinobryon cylindricum;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;4.48E-12;67000000;phytoplankton;basal;light;common
13;Dactylococcopsis fascicularis;P;Cyanobacteria;Cyanophyceae;Chlorococcales;Chroococcaceae;1.32E-13;1000000;phytoplankton;basal;light;common
14;Diceras sp.;P;Heterokontophyta;Chrysophyceae;Hibberdiales;Stylococcaceae;1.53E-13;1000000;-1;-1;-1;-1
15;Dictyosphaerium pulchellum;P;Chlorophyta;Chlorophyceae;Chlorococcales;Botryococcaceae;4.07E-13;1000000;phytoplankton;basal;light;common
16;Dinobryon sertularia;P;Heterokontophyta;Chrysophyceae;Chromulinales;Dinobryaceae;6.28E-12;2000000;phytoplankton;basal;light;common
17;Sphaerocystis schroeteri;P;Chlorophyta;Chlorophyceae;Tetrasporales;Palmellaceae;1.08E-11;2000000;phytoplankton;basal;light;common
18;Gloeocystis sp.;P;Chlorophyta;Chlorophyceae;Chlorococcales;Radiococcaceae;9.46E-11;5000000;phytoplankton;basal;light;common
